software.sava.idl.clients.kamino.scope.entries.ScopeEntriesRecord,parseChain,68,VoidMethodCallMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeEntriesRecord,parseChain,69,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeEntriesRecord,parseChain,71,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeEntriesRecord,readPriceChains,19,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeEntriesRecord,readPriceChains,24,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeEntriesRecord,readPriceChains,24,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeEntriesRecord,readPriceChains,29,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeEntriesRecord,toString,91,EmptyObjectReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeReader,parseEntries,17,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeReader,scaleScopePrice,40,ConditionalsBoundaryMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeReader,scaleScopePrice,40,RemoveConditionalMutator_ORDER_ELSE,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeReader,scaleScopePrice,40,RemoveConditionalMutator_ORDER_IF,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeReader,scaleScopePrice,43,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeReader,scaleScopePrice,47,MathMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeReader,scaleScopePrice,49,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeReader,scaleScopePrice,49,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeReader,scaleScopePrice,50,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeReader,scaleScopePrice,52,ConditionalsBoundaryMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeReader,scaleScopePrice,52,RemoveConditionalMutator_ORDER_ELSE,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeReader,scaleScopePrice,52,RemoveConditionalMutator_ORDER_IF,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeReader,scaleScopePrice,55,MathMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeReader,scaleScopePrice,56,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ScopeReaderRecord,computeEntry,118,VoidMethodCallMutator,SURVIVED
software.sava.idl.clients.kamino.scope.entries.ScopeReaderRecord,computeEntry,126,VoidMethodCallMutator,NO_COVERAGE
